Data;empresa;LL;at;ief;roe;moper
31/12/2022;BANRISUL;842.24;113659.79;;8.85;5.22
30/09/2022;BANRISUL;711.63;112857.12;;7.90;-1.44
30/06/2022;BANRISUL;796.29;109120.69;;8.88;0.32
31/03/2022;BANRISUL;833.69;103748.81;;9.27;3.58
31/12/2021;BANRISUL;1084.47;105768.68;;11.93;18.68
30/09/2021;BANRISUL;933.11;101328.13;;10.67;8.57
30/06/2021;BANRISUL;894.34;97850.64;;10.34;10.58
31/03/2021;BANRISUL;748.89;95410.65;;8.73;8.73
31/12/2020;BANRISUL;619.86;92582.44;;7.51;9.86
30/09/2020;BANRISUL;892.28;90033.72;;10.68;5.47
30/06/2020;BANRISUL;1066.37;86600.41;64.07;12.98;7.18
31/03/2020;BANRISUL;1281.98;82939.75;60.22;15.89;9.66
31/12/2019;BANRISUL;1269.95;82539.50;55.67;16.27;15.81
30/09/2019;BANRISUL;1199.75;79992.91;62.63;15.51;13.16
30/06/2019;BANRISUL;1198.06;78631.09;62.59;15.94;14.30
31/03/2019;BANRISUL;1124.62;77378.97;64.58;15.27;13.44
31/12/2018;BANRISUL;908.60;78336.41;59.33;12.33;16.30
30/09/2018;BANRISUL;1312.52;75298.16;59.54;18.11;17.68
30/06/2018;BANRISUL;1242.75;74736.81;61.07;17.67;16.12
31/03/2018;BANRISUL;1168.47;71161.80;62.54;16.24;14.69
31/12/2017;BANRISUL;1095.51;74367.49;56.43;14.89;16.31
30/09/2017;BANRISUL;701.71;70840.61;72.26;10.43;6.20
30/06/2017;BANRISUL;586.27;69994.28;73.80;8.88;4.76
31/03/2017;BANRISUL;600.14;68434.24;72.19;9.26;5.44
31/12/2016;BANRISUL;728.88;70154.96;56.39;10.84;10.12
30/09/2016;BANRISUL;644.15;66856.61;69.08;9.96;6.52
30/06/2016;BANRISUL;898.46;66670.80;66.71;13.95;8.09
31/03/2016;BANRISUL;889.82;64841.89;67.52;14.08;7.98
31/12/2015;BANRISUL;880.22;68103.61;56.14;13.59;10.74
30/09/2015;BANRISUL;947.46;64359.70;67.00;15.50;8.83
30/06/2015;BANRISUL;803.47;62985.95;67.06;13.74;9.41
31/03/2015;BANRISUL;760.68;60731.18;64.99;13.25;8.61
31/12/2014;BANRISUL;621.02;60461.04;59.02;10.69;10.32
30/09/2014;BANRISUL;632.18;58658.42;66.54;11.67;8.84
30/06/2014;BANRISUL;599.81;56927.83;66.80;11.38;9.53
31/03/2014;BANRISUL;664.69;57272.36;67.38;12.88;12.47
31/12/2013;BANRISUL;748.97;54114.96;57.73;14.04;16.96
30/09/2013;BANRISUL;794.12;53757.79;62.84;15.86;18.24
30/06/2013;BANRISUL;818.69;52769.95;61.44;16.75;19.66
31/03/2013;BANRISUL;808.86;47952.24;60.89;16.92;18.35
31/12/2012;BANRISUL;833.71;47392.68;52.14;16.34;19.37
30/09/2012;BANRISUL;853.79;44869.11;58.65;17.79;18.43
30/06/2012;BANRISUL;885.44;42970.75;57.62;19.03;18.56
31/03/2012;BANRISUL;907.45;40033.46;56.76;19.94;21.11
31/12/2011;BANRISUL;934.17;38316.71;;20.38;23.97
30/09/2011;BANRISUL;907.54;36788.43;55.16;21.11;23.55
30/06/2011;BANRISUL;874.74;34984.30;54.98;21.24;24.59
31/03/2011;BANRISUL;830.69;33172.84;55.95;20.72;24.43
31/12/2010;BANRISUL;760.25;32688.39;;19.03;24.53
30/09/2010;BANRISUL;695.68;32339.35;;18.57;23.58
30/06/2010;BANRISUL;635.34;31098.75;;17.70;22.71
31/03/2010;BANRISUL;556.43;29864.56;;15.99;20.62
31/12/2009;BANRISUL;541.10;29084.14;;15.88;20.02
30/09/2009;BANRISUL;528.70;28573.21;;16.02;18.11
30/06/2009;BANRISUL;493.40;27743.30;;15.43;16.17
31/03/2009;BANRISUL;576.47;26501.52;;18.36;16.65
31/12/2008;BANRISUL;590.87;25205.38;;19.19;18.15
30/09/2008;BANRISUL;533.59;25505.89;;17.96;18.75
30/06/2008;BANRISUL;499.48;23223.05;;17.19;21.41
31/03/2008;BANRISUL;398.86;21655.15;;14.14;22.09
31/12/2007;BANRISUL;916.38;20480.33;;32.82;21.60
30/09/2007;BANRISUL;908.91;20114.38;;33.38;21.74
30/06/2007;BANRISUL;897.89;17198.94;;48.64;19.20
31/03/2007;BANRISUL;905.60;16238.78;;48.93;17.45
31/12/2006;BANRISUL;361.66;15648.52;;27.93;17.04
30/09/2006;BANRISUL;386.25;15279.29;;29.76;16.55
30/06/2006;BANRISUL;366.40;14567.07;;29.73;16.46
31/03/2006;BANRISUL;344.50;13753.57;;28.76;17.29
31/12/2005;BANRISUL;351.95;14089.51;;30.79;18.10
30/09/2005;BANRISUL;367.45;13423.26;;32.07;19.77
30/06/2005;BANRISUL;365.09;12931.91;;32.89;20.54
31/03/2005;BANRISUL;355.27;12653.88;;33.43;19.91
31/12/2004;BANRISUL;303.22;12126.17;;29.55;18.87
30/09/2004;BANRISUL;293.97;11987.41;59.43;33.46;16.99
30/06/2004;BANRISUL;297.41;12323.14;60.16;35.60;16.38
31/03/2004;BANRISUL;269.39;11985.67;57.87;31.69;15.50
31/12/2003;BANRISUL;285.44;11721.02;;35.64;16.71
30/09/2003;BANRISUL;201.11;12371.04;54.64;25.42;13.56
30/06/2003;BANRISUL;195.01;12150.86;47.78;26.28;13.73
31/03/2003;BANRISUL;181.26;11645.06;50.29;25.80;13.21
31/12/2002;BANRISUL;149.65;11210.30;;21.62;12.79
;;;;;;
