Data;empresa;LL;at;ief;roe;moper;empresa;LL;at;ief;roe;moper;empresa;LL;at;ief;roe;moper;empresa;LL;at;ief;roe;moper;empresa;LL;at;ief;roe;moper;empresa;LL;at;ief;roe;moper;empresa;LL;at;ief;roe;moper;empresa;LL;at;ief;roe;moper;;;;;;
31/12/2022;ITAUUNIBANCO;30737.00;2323440.00;;17.33;13.01;BRADESCO;21217.20;1799615.68;;13.37;11.10;BTGP BANCO;7841.84;369588.19;;18.51;12.59;SANTANDER BR;14339.48;985450.83;;12.96;16.82;BRASIL;29849.34;2007727.98;;18.30;14.03;BANCO BMG;65.35;44588.27;47.77;1.58;-4.35;BANCO PAN;668.28;55626.61;;9.38;6.81;BANRISUL;842.24;113659.79;;8.85;5.22;;;;;;
30/09/2022;ITAUUNIBANCO;29994.00;2283335.00;;17.27;18.71;BRADESCO;22466.04;1571322.96;;14.32;4.13;BTGP BANCO;7154.94;368817.60;;16.93;15.60;SANTANDER BR;15061.20;985777.18;;13.67;19.33;BRASIL;27510.51;2187760.89;;18.70;11.07;BANCO BMG;201.62;45790.52;59.17;5.25;-4.66;BANCO PAN;726.33;55785.14;59.23;9.32;6.13;BANRISUL;711.63;112857.12;;7.90;-1.44;;;;;;
30/06/2022;ITAUUNIBANCO;28128.00;2165608.00;;16.76;17.34;BRADESCO;23903.14;1443087.18;;15.65;4.70;BTGP BANCO;6398.73;384224.41;;15.47;14.84;SANTANDER BR;15493.87;969851.76;;14.31;20.56;BRASIL;24008.49;2135261.94;;16.57;10.11;BANCO BMG;190.56;43170.96;56.96;4.96;-5.29;BANCO PAN;746.33;55080.00;60.65;9.67;7.26;BANRISUL;796.29;109120.69;;8.88;0.32;;;;;;
31/03/2022;ITAUUNIBANCO;29099.00;2069267.00;;17.86;19.29;BRADESCO;22801.97;1436113.28;;15.09;13.76;BTGP BANCO;7563.48;327950.91;;19.25;31.74;SANTANDER BR;15315.79;950925.64;;14.40;28.89;BRASIL;21987.85;2080278.65;;15.49;13.57;BANCO BMG;204.18;36995.23;55.32;5.29;-2.06;BANCO PAN;779.80;52599.56;60.73;10.16;8.81;BANRISUL;833.69;103748.81;;9.27;3.58;;;;;;
31/12/2021;ITAUUNIBANCO;28384.00;2069206.00;;17.26;20.99;BRADESCO;23380.80;1675572.19;;15.56;25.85;BTGP BANCO;6294.48;318201.80;27.13;16.84;29.53;SANTANDER BR;15559.32;931208.40;;14.68;31.55;BRASIL;19722.87;1899340.51;;13.50;16.60;BANCO BMG;241.91;36930.53;54.39;6.26;-2.16;BANCO PAN;727.48;48139.72;;12.18;12.38;BANRISUL;1084.47;105768.68;;11.93;18.68;;;;;;
30/09/2021;ITAUUNIBANCO;29544.00;2043009.00;;18.59;22.73;BRADESCO;24239.40;1443107.64;;16.42;23.78;BTGP BANCO;7223.74;340556.06;25.32;19.92;45.00;SANTANDER BR;15652.48;945582.44;;14.78;44.21;BRASIL;17392.75;2033137.26;;12.72;11.04;BANCO BMG;232.23;33436.61;;5.91;1.25;BANCO PAN;755.07;44480.41;;13.30;10.35;BANRISUL;933.11;101328.13;;10.67;8.57;;;;;;
30/06/2021;ITAUUNIBANCO;28248.00;1957245.00;;18.29;21.74;BRADESCO;21785.50;1398077.35;;14.87;23.86;BTGP BANCO;6821.68;301413.18;22.98;19.47;42.42;SANTANDER BR;15597.27;929324.38;;14.66;49.59;BRASIL;15888.73;1912107.22;;11.73;10.33;BANCO BMG;297.24;31095.96;;7.29;6.14;BANCO PAN;733.88;43148.20;;13.20;11.00;BANRISUL;894.34;97850.64;;10.34;10.58;;;;;;
31/03/2021;ITAUUNIBANCO;17606.00;2023217.00;;11.02;12.39;BRADESCO;19317.41;1387363.16;;13.39;1.95;BTGP BANCO;4861.50;301280.95;27.41;15.98;21.65;SANTANDER BR;13647.45;944800.83;;12.96;34.93;BRASIL;13480.08;1891609.38;;10.57;2.80;BANCO BMG;304.44;28739.44;;7.53;8.46;BANCO PAN;675.29;39159.51;;12.43;10.48;BANRISUL;748.89;95410.65;;8.73;8.73;;;;;;
31/12/2020;ITAUUNIBANCO;15064.00;2019251.00;42.25;9.75;2.20;BRADESCO;16033.96;1604653.79;;10.97;3.69;BTGP BANCO;3280.13;253266.80;49.97;12.29;-4.21;SANTANDER BR;13450.75;936201.49;;12.68;15.22;BRASIL;13292.88;1693794.00;;10.40;9.38;BANCO BMG;310.08;28166.56;47.78;7.47;8.63;BANCO PAN;627.38;38863.45;;11.32;9.72;BANRISUL;619.86;92582.44;;7.51;9.86;;;;;;
30/09/2020;ITAUUNIBANCO;15589.00;1998284.00;;10.54;-1.23;BRADESCO;15965.34;1410189.14;;11.61;-57.15;BTGP BANCO;2853.08;272559.84;46.73;10.98;-5.90;SANTANDER BR;15237.72;891910.54;;14.68;7.28;BRASIL;15003.08;1839773.40;66.87;13.39;-6.17;BANCO BMG;411.16;24861.67;;10.02;3.51;BANCO PAN;652.20;35377.53;;12.49;5.48;BANRISUL;892.28;90033.72;;10.68;5.47;;;;;;
