Data;empresa;LL;at;ief;roe;moper
31/12/2022;BANCO BMG;65.35;44588.27;47.77;1.58;-4.35
30/09/2022;BANCO BMG;201.62;45790.52;59.17;5.25;-4.66
30/06/2022;BANCO BMG;190.56;43170.96;56.96;4.96;-5.29
31/03/2022;BANCO BMG;204.18;36995.23;55.32;5.29;-2.06
31/12/2021;BANCO BMG;241.91;36930.53;54.39;6.26;-2.16
30/09/2021;BANCO BMG;232.23;33436.61;;5.91;1.25
30/06/2021;BANCO BMG;297.24;31095.96;;7.29;6.14
31/03/2021;BANCO BMG;304.44;28739.44;;7.53;8.46
31/12/2020;BANCO BMG;310.08;28166.56;47.78;7.47;8.63
30/09/2020;BANCO BMG;411.16;24861.67;;10.02;3.51
30/06/2020;BANCO BMG;393.16;22180.30;;9.65;3.00
31/03/2020;BANCO BMG;373.50;19832.48;;9.35;1.55
31/12/2019;BANCO BMG;389.81;19573.48;;9.58;4.12
30/09/2019;BANCO BMG;285.93;18548.96;;10.43;13.16
30/06/2019;BANCO BMG;294.43;18039.46;;10.91;14.89
31/03/2019;BANCO BMG;264.70;17466.88;;9.97;14.32
31/12/2018;BANCO BMG;219.84;17368.93;;8.38;13.22
30/09/2018;BANCO BMG;;;;;
30/06/2018;BANCO BMG;;;;;
31/03/2018;BANCO BMG;;;;;
31/12/2017;BANCO BMG;;;;;
30/09/2017;BANCO BMG;;;;;
30/06/2017;BANCO BMG;;;;;
31/03/2017;BANCO BMG;;;;;
31/12/2016;BANCO BMG;;;;;
30/09/2016;BANCO BMG;;;;;
30/06/2016;BANCO BMG;;;;;
31/03/2016;BANCO BMG;;;;;
31/12/2015;BANCO BMG;;;;;
30/09/2015;BANCO BMG;;;;;
30/06/2015;BANCO BMG;;;;;
31/03/2015;BANCO BMG;;;;;
31/12/2014;BANCO BMG;;;;;
30/09/2014;BANCO BMG;;;;;
30/06/2014;BANCO BMG;;;;;
31/03/2014;BANCO BMG;;;;;
31/12/2013;BANCO BMG;;;;;
30/09/2013;BANCO BMG;;;;;
30/06/2013;BANCO BMG;;;;;
31/03/2013;BANCO BMG;;;;;
31/12/2012;BANCO BMG;;;;;
30/09/2012;BANCO BMG;;;;;
30/06/2012;BANCO BMG;;;;;
31/03/2012;BANCO BMG;;;;;
31/12/2011;BANCO BMG;;;;;
30/09/2011;BANCO BMG;;;;;
30/06/2011;BANCO BMG;;;;;
31/03/2011;BANCO BMG;;;;;
31/12/2010;BANCO BMG;;;;;
30/09/2010;BANCO BMG;;;;;
30/06/2010;BANCO BMG;;;;;
31/03/2010;BANCO BMG;;;;;
31/12/2009;BANCO BMG;;;;;
30/09/2009;BANCO BMG;;;;;
30/06/2009;BANCO BMG;;;;;
31/03/2009;BANCO BMG;;;;;
31/12/2008;BANCO BMG;;;;;
30/09/2008;BANCO BMG;;;;;
30/06/2008;BANCO BMG;;;;;
31/03/2008;BANCO BMG;;;;;
31/12/2007;BANCO BMG;;;;;
30/09/2007;BANCO BMG;;;;;
30/06/2007;BANCO BMG;;;;;
31/03/2007;BANCO BMG;;;;;
31/12/2006;BANCO BMG;;;;;
30/09/2006;BANCO BMG;;;;;
30/06/2006;BANCO BMG;;;;;
31/03/2006;BANCO BMG;;;;;
31/12/2005;BANCO BMG;;;;;
30/09/2005;BANCO BMG;;;;;
30/06/2005;BANCO BMG;;;;;
31/03/2005;BANCO BMG;;;;;
31/12/2004;BANCO BMG;;;;;
30/09/2004;BANCO BMG;;;;;
30/06/2004;BANCO BMG;;;;;
31/03/2004;BANCO BMG;;;;;
31/12/2003;BANCO BMG;;;;;
30/09/2003;BANCO BMG;;;;;
30/06/2003;BANCO BMG;;;;;
31/03/2003;BANCO BMG;;;;;
31/12/2002;BANCO BMG;;;;;
;;;;;;
