Data;empresa;LL;at;ief;roe;moper
31/12/2022;BRADESCO;21217.20;1799615.68;;13.37;11.10
30/09/2022;BRADESCO;22466.04;1571322.96;;14.32;4.13
30/06/2022;BRADESCO;23903.14;1443087.18;;15.65;4.70
31/03/2022;BRADESCO;22801.97;1436113.28;;15.09;13.76
31/12/2021;BRADESCO;23380.80;1675572.19;;15.56;25.85
30/09/2021;BRADESCO;24239.40;1443107.64;;16.42;23.78
30/06/2021;BRADESCO;21785.50;1398077.35;;14.87;23.86
31/03/2021;BRADESCO;19317.41;1387363.16;;13.39;1.95
31/12/2020;BRADESCO;16033.96;1604653.79;;10.97;3.69
30/09/2020;BRADESCO;15965.34;1410189.14;;11.61;-57.15
30/06/2020;BRADESCO;17608.24;1329517.50;85.62;13.03;-64.99
31/03/2020;BRADESCO;20144.26;1240264.47;76.22;15.55;-45.84
31/12/2019;BRADESCO;21173.21;1378527.69;47.64;15.62;9.80
30/09/2019;BRADESCO;22780.26;1143217.96;53.42;16.47;-4.64
30/06/2019;BRADESCO;21952.97;1132657.45;52.37;16.43;2.36
31/03/2019;BRADESCO;20438.67;1117595.93;56.84;16.13;-5.64
31/12/2018;BRADESCO;16748.44;1305543.71;46.25;13.43;15.78
30/09/2018;BRADESCO;17795.78;1090575.90;65.20;15.39;-1.71
30/06/2018;BRADESCO;15670.09;1043244.11;64.99;13.86;-1.24
31/03/2018;BRADESCO;15053.79;1037617.93;63.54;13.23;-0.59
31/12/2017;BRADESCO;17314.60;1224353.44;46.89;14.71;15.98
30/09/2017;BRADESCO;14457.90;1088796.38;61.01;13.11;0.40
30/06/2017;BRADESCO;14810.44;1062273.75;62.17;13.87;-1.71
31/03/2017;BRADESCO;15032.85;1082543.99;54.41;14.38;7.42
31/12/2016;BRADESCO;17992.73;1192029.66;40.26;17.06;18.54
30/09/2016;BRADESCO;15844.49;972203.11;47.89;16.08;16.87
30/06/2016;BRADESCO;16727.59;953759.61;57.94;17.36;-1.72
31/03/2016;BRADESCO;17067.06;954610.31;62.92;18.29;-6.77
31/12/2015;BRADESCO;18237.91;1026703.52;47.87;20.06;7.05
30/09/2015;BRADESCO;16830.26;969652.51;84.80;19.52;-33.95
30/06/2015;BRADESCO;16585.24;943009.01;64.89;19.07;-16.37
31/03/2015;BRADESCO;15889.63;975608.37;66.61;18.93;-19.19
31/12/2014;BRADESCO;15416.48;930451.02;44.03;18.73;17.99
30/09/2014;BRADESCO;14174.74;933101.65;62.84;17.89;-8.91
30/06/2014;BRADESCO;13364.12;892034.32;59.92;17.40;-2.05
31/03/2014;BRADESCO;12535.09;904060.44;64.70;17.10;-8.41
31/12/2013;BRADESCO;12486.14;838301.61;48.04;17.32;17.06
30/09/2013;BRADESCO;11825.19;869880.44;59.81;17.64;-4.46
30/06/2013;BRADESCO;11623.58;872158.94;59.60;17.60;-3.51
31/03/2013;BRADESCO;11507.83;866004.42;58.70;16.57;-2.87
31/12/2012;BRADESCO;11351.69;801186.70;44.50;15.91;16.79
30/09/2012;BRADESCO;11213.56;793564.10;62.20;16.98;-2.86
30/06/2012;BRADESCO;11166.34;787700.45;63.05;17.47;-9.93
31/03/2012;BRADESCO;11118.76;758678.52;56.86;19.15;-5.18
31/12/2011;BRADESCO;11089.44;722086.89;49.75;18.67;17.05
30/09/2011;BRADESCO;11289.33;724325.51;55.18;21.01;-3.99
30/06/2011;BRADESCO;11001.08;691780.69;52.90;20.82;4.47
31/03/2011;BRADESCO;10621.01;674900.26;56.64;20.70;3.68
31/12/2010;BRADESCO;10052.19;602954.02;45.31;19.65;22.10
30/09/2010;BRADESCO;9215.87;611903.43;32.50;19.99;20.27
30/06/2010;BRADESCO;8499.95;558100.22;32.64;19.19;18.73
31/03/2010;BRADESCO;8391.98;532626.06;32.81;19.48;16.33
31/12/2009;BRADESCO;8012.28;506223.09;32.80;19.19;15.58
30/09/2009;BRADESCO;7436.43;485685.69;33.80;19.13;11.55
30/06/2009;BRADESCO;7535.67;482477.61;34.37;20.22;10.11
31/03/2009;BRADESCO;7240.77;482140.94;33.59;20.51;12.24
31/12/2008;BRADESCO;7620.24;454413.04;33.41;22.24;13.28
30/09/2008;BRADESCO;8208.04;422705.71;33.56;24.02;18.25
30/06/2008;BRADESCO;8108.02;403270.69;33.44;24.05;20.80
31/03/2008;BRADESCO;8406.89;355517.34;34.15;25.55;21.25
