Data;empresa;LL;at;ief;roe;moper
31/12/2022;BRASIL;29849.34;2007727.98;;18.30;14.03
30/09/2022;BRASIL;27510.51;2187760.89;;18.70;11.07
30/06/2022;BRASIL;24008.49;2135261.94;;16.57;10.11
31/03/2022;BRASIL;21987.85;2080278.65;;15.49;13.57
31/12/2021;BRASIL;19722.87;1899340.51;;13.50;16.60
30/09/2021;BRASIL;17392.75;2033137.26;;12.72;11.04
30/06/2021;BRASIL;15888.73;1912107.22;;11.73;10.33
31/03/2021;BRASIL;13480.08;1891609.38;;10.57;2.80
31/12/2020;BRASIL;13292.88;1693794.00;;10.40;9.38
30/09/2020;BRASIL;15003.08;1839773.40;66.87;13.39;-6.17
30/06/2020;BRASIL;16127.34;1780471.32;63.91;15.36;-7.20
31/03/2020;BRASIL;17171.10;1663538.09;61.72;16.80;-6.64
31/12/2019;BRASIL;18888.32;1452266.81;;17.18;9.05
30/09/2019;BRASIL;16002.96;1568535.64;51.78;16.94;3.59
30/06/2019;BRASIL;14933.56;1601798.33;52.21;16.29;6.57
31/03/2019;BRASIL;13839.44;1579306.48;53.39;14.64;5.38
31/12/2018;BRASIL;15086.10;1396507.47;;14.43;16.98
30/09/2018;BRASIL;11979.67;1539260.85;59.91;12.91;3.02
30/06/2018;BRASIL;11698.50;1513677.59;61.41;12.78;3.12
31/03/2018;BRASIL;11214.79;1478842.48;62.21;12.49;3.93
31/12/2017;BRASIL;12275.30;1353075.04;;12.13;11.40
30/09/2017;BRASIL;8787.83;1458256.15;67.28;10.70;2.76
30/06/2017;BRASIL;8195.91;1503116.04;67.95;10.28;2.00
31/03/2017;BRASIL;8012.91;1465545.79;67.26;10.21;3.47
31/12/2016;BRASIL;8659.58;1387215.69;;9.61;6.48
30/09/2016;BRASIL;9458.43;1550909.34;64.95;12.68;4.87
30/06/2016;BRASIL;10253.94;1551538.66;71.49;14.13;-1.41
31/03/2016;BRASIL;10742.97;1515592.20;72.54;14.70;-2.30
31/12/2015;BRASIL;15798.04;1388864.53;;18.32;5.56
30/09/2015;BRASIL;14626.06;1510509.51;68.50;20.20;-5.09
30/06/2015;BRASIL;14354.12;1460958.07;62.66;19.95;0.30
31/03/2015;BRASIL;14213.91;1465549.45;61.67;19.58;0.66
31/12/2014;BRASIL;13343.50;1278136.95;;15.62;11.33
30/09/2014;BRASIL;11400.03;1369739.68;64.91;14.46;5.47
30/06/2014;BRASIL;11342.24;1344627.84;63.92;16.33;7.74
31/03/2014;BRASIL;16002.21;1294187.53;64.78;22.39;6.04
31/12/2013;BRASIL;11288.83;1162167.88;;14.78;12.30
30/09/2013;BRASIL;16667.76;1178131.25;61.01;26.12;9.70
30/06/2013;BRASIL;16787.25;1138813.79;61.25;26.85;10.50
31/03/2013;BRASIL;12338.45;1105744.90;60.45;19.95;13.96
31/12/2012;BRASIL;11438.20;1136007.48;;16.36;14.15
30/09/2012;BRASIL;11454.15;1009923.66;61.03;17.94;14.09
30/06/2012;BRASIL;11540.90;962760.90;60.26;18.61;12.78
31/03/2012;BRASIL;11869.40;913866.69;56.49;19.84;14.59
31/12/2011;BRASIL;12736.91;966823.07;;20.13;16.64
30/09/2011;BRASIL;13155.80;859280.12;51.17;23.38;16.74
30/06/2011;BRASIL;12889.28;816131.15;49.97;23.75;19.83
31/03/2011;BRASIL;12284.66;787908.49;51.29;23.55;19.99
31/12/2010;BRASIL;11330.35;802819.79;;20.82;19.44
30/09/2010;BRASIL;11856.48;796815.26;50.36;24.60;25.04
30/06/2010;BRASIL;11210.23;755705.63;50.61;28.50;25.38
31/03/2010;BRASIL;10832.91;724881.38;50.45;28.78;25.19
31/12/2009;BRASIL;10147.52;708548.84;53.51;28.09;22.18
30/09/2009;BRASIL;8936.41;685684.30;54.32;26.55;16.50
30/06/2009;BRASIL;8824.85;598838.59;55.08;27.27;14.44
31/03/2009;BRASIL;8120.88;591925.23;55.73;26.32;13.88
31/12/2008;BRASIL;8802.87;521272.82;50.19;29.40;17.99
30/09/2008;BRASIL;7075.45;458873.12;55.66;25.37;16.99
30/06/2008;BRASIL;6572.53;416502.97;56.16;24.92;19.00
31/03/2008;BRASIL;5996.80;404871.85;57.90;23.60;18.14
31/12/2007;BRASIL;5058.12;357750.24;59.41;20.85;17.46
30/09/2007;BRASIL;5089.36;342398.10;59.45;22.06;17.70
30/06/2007;BRASIL;4632.76;332967.57;60.22;20.77;17.36
31/03/2007;BRASIL;5109.90;321898.02;61.06;23.61;18.26
31/12/2006;BRASIL;6043.78;296356.42;61.98;29.12;15.91
30/09/2006;BRASIL;5532.44;281615.00;66.18;27.39;15.15
30/06/2006;BRASIL;6062.96;273835.58;61.27;31.61;18.40
31/03/2006;BRASIL;5531.69;264634.93;56.09;28.80;19.71
31/12/2005;BRASIL;4153.60;252976.99;57.14;24.65;21.30
30/09/2005;BRASIL;4187.50;245510.76;53.02;24.89;22.16
30/06/2005;BRASIL;3582.09;233792.95;54.52;23.27;20.65
31/03/2005;BRASIL;3373.00;245685.36;61.03;22.59;16.15
31/12/2004;BRASIL;3024.01;239014.14;61.16;21.44;14.82
30/09/2004;BRASIL;2890.60;235599.30;61.36;20.99;14.26
30/06/2004;BRASIL;2722.84;227374.44;64.39;21.17;11.30
31/03/2004;BRASIL;2517.57;231107.15;59.04;19.85;14.24
31/12/2003;BRASIL;2380.98;230144.45;58.17;19.56;15.51
30/09/2003;BRASIL;2343.53;215133.93;58.30;20.05;16.41
30/06/2003;BRASIL;2283.45;205762.13;57.26;21.00;9.65
31/03/2003;BRASIL;2157.65;209240.06;61.74;21.23;4.19
31/12/2002;BRASIL;2027.68;204594.61;63.39;22.05;2.41
;;;;;;
