Data;empresa;LL;at;ief;roe;moper
31/12/2022;BTGP BANCO;7841.84;369588.19;;18.51;12.59
30/09/2022;BTGP BANCO;7154.94;368817.60;;16.93;15.60
30/06/2022;BTGP BANCO;6398.73;384224.41;;15.47;14.84
31/03/2022;BTGP BANCO;7563.48;327950.91;;19.25;31.74
31/12/2021;BTGP BANCO;6294.48;318201.80;27.13;16.84;29.53
30/09/2021;BTGP BANCO;7223.74;340556.06;25.32;19.92;45.00
30/06/2021;BTGP BANCO;6821.68;301413.18;22.98;19.47;42.42
31/03/2021;BTGP BANCO;4861.50;301280.95;27.41;15.98;21.65
31/12/2020;BTGP BANCO;3280.13;253266.80;49.97;12.29;-4.21
30/09/2020;BTGP BANCO;2853.08;272559.84;46.73;10.98;-5.90
30/06/2020;BTGP BANCO;2444.83;245129.73;56.11;9.56;-8.96
31/03/2020;BTGP BANCO;2225.45;236220.86;44.80;10.12;-1.18
31/12/2019;BTGP BANCO;4053.42;166344.09;;18.47;35.17
30/09/2019;BTGP BANCO;3079.75;179779.25;22.95;14.83;25.97
30/06/2019;BTGP BANCO;2725.45;188544.34;25.63;13.37;23.52
31/03/2019;BTGP BANCO;1419.84;182143.59;57.17;7.32;-11.86
31/12/2018;BTGP BANCO;2437.11;131989.53;52.35;12.77;28.24
30/09/2018;BTGP BANCO;851.34;179082.96;349.12;4.45;-65.05
30/06/2018;BTGP BANCO;1293.70;168122.97;87.38;6.75;-37.98
31/03/2018;BTGP BANCO;1671.08;153394.58;69.57;8.96;-22.75
31/12/2017;BTGP BANCO;2367.40;117472.28;72.61;12.54;19.46
30/09/2017;BTGP BANCO;2385.86;143389.76;21.88;12.86;13.14
30/06/2017;BTGP BANCO;2393.75;143444.67;27.09;13.28;7.21
31/03/2017;BTGP BANCO;3272.71;151052.06;20.86;17.90;33.21
31/12/2016;BTGP BANCO;4714.96;111407.60;36.79;27.48;48.67
30/09/2016;BTGP BANCO;4272.77;146027.26;26.28;20.10;37.95
30/06/2016;BTGP BANCO;5403.74;144147.82;34.31;25.94;-21.53
31/03/2016;BTGP BANCO;5694.73;149723.31;39.09;27.99;-43.68
31/12/2015;BTGP BANCO;576.02;242998.06;368.23;2.85;-24.36
30/09/2015;BTGP BANCO;4837.16;188119.01;88.96;25.64;-76.42
30/06/2015;BTGP BANCO;3792.86;161241.55;37.77;23.30;-51.29
31/03/2015;BTGP BANCO;3369.78;163235.18;37.70;21.79;-37.72
31/12/2014;BTGP BANCO;1901.15;157712.09;66.05;12.27;12.24
30/09/2014;BTGP BANCO;3413.89;135283.93;;24.01;6.14
30/06/2014;BTGP BANCO;3224.94;114327.25;;24.02;22.25
31/03/2014;BTGP BANCO;3096.01;122395.30;;23.80;17.42
31/12/2013;BTGP BANCO;2584.82;120888.31;;20.17;32.11
30/09/2013;BTGP BANCO;2514.75;117349.78;;21.69;29.26
30/06/2013;BTGP BANCO;2325.35;122960.80;26.95;21.18;31.50
31/03/2013;BTGP BANCO;2105.84;102550.13;25.97;19.96;32.13
31/12/2012;BTGP BANCO;2154.13;124425.73;;20.63;33.20
30/09/2012;BTGP BANCO;2222.50;85434.81;23.21;23.74;28.77
30/06/2012;BTGP BANCO;1970.49;82125.87;27.05;22.05;20.70
31/03/2012;BTGP BANCO;1673.77;72450.85;27.66;24.82;25.10
31/12/2011;BTGP BANCO;1339.56;82392.06;55.33;20.47;19.63
30/09/2011;BTGP BANCO;;;;;
30/06/2011;BTGP BANCO;;;;;
31/03/2011;BTGP BANCO;;;;;
31/12/2010;BTGP BANCO;810.91;46459.80;30.10;14.47;26.79
30/09/2010;BTGP BANCO;;;;;
30/06/2010;BTGP BANCO;;;;;
31/03/2010;BTGP BANCO;;;;;
31/12/2009;BTGP BANCO;;;;;
30/09/2009;BTGP BANCO;;;;;
30/06/2009;BTGP BANCO;;;;;
31/03/2009;BTGP BANCO;;;;;
31/12/2008;BTGP BANCO;;;;;
30/09/2008;BTGP BANCO;;;;;
30/06/2008;BTGP BANCO;;;;;
31/03/2008;BTGP BANCO;;;;;
31/12/2007;BTGP BANCO;;;;;
30/09/2007;BTGP BANCO;;;;;
30/06/2007;BTGP BANCO;;;;;
31/03/2007;BTGP BANCO;;;;;
31/12/2006;BTGP BANCO;;;;;
30/09/2006;BTGP BANCO;;;;;
30/06/2006;BTGP BANCO;;;;;
31/03/2006;BTGP BANCO;;;;;
31/12/2005;BTGP BANCO;;;;;
30/09/2005;BTGP BANCO;;;;;
30/06/2005;BTGP BANCO;;;;;
31/03/2005;BTGP BANCO;;;;;
31/12/2004;BTGP BANCO;;;;;
30/09/2004;BTGP BANCO;;;;;
30/06/2004;BTGP BANCO;;;;;
31/03/2004;BTGP BANCO;;;;;
31/12/2003;BTGP BANCO;;;;;
30/09/2003;BTGP BANCO;;;;;
30/06/2003;BTGP BANCO;;;;;
31/03/2003;BTGP BANCO;;;;;
31/12/2002;BTGP BANCO;;;;;
;;;;;;
