Data;empresa;LL;at;ief;roe;moper
31/12/2002;ITAUUNIBANCO;2376.72;111141.44;49.28;26.30;15.59
31/03/2003;ITAUUNIBANCO;2587.19;113097.65;46.47;25.91;19.95
30/06/2003;ITAUUNIBANCO;2819.35;106799.15;46.61;26.17;33.08
30/09/2003;ITAUUNIBANCO;2987.31;118981.95;46.57;26.06;52.35
31/12/2003;ITAUUNIBANCO;3151.82;118737.86;57.41;26.53;39.98
31/03/2004;ITAUUNIBANCO;3313.81;126979.34;59.92;26.56;35.09
30/06/2004;ITAUUNIBANCO;3486.28;122759.55;59.08;27.26;26.04
30/09/2004;ITAUUNIBANCO;3599.25;138519.77;58.38;26.72;32.93
31/12/2004;ITAUUNIBANCO;3775.62;130338.64;51.51;27.02;42.05
31/03/2005;ITAUUNIBANCO;4040.76;146402.78;50.12;27.62;43.40
30/06/2005;ITAUUNIBANCO;4425.22;144545.33;48.82;29.45;56.16
30/09/2005;ITAUUNIBANCO;4856.85;144671.19;49.36;31.89;49.87
31/12/2005;ITAUUNIBANCO;5251.33;151241.43;53.90;33.75;40.25
31/03/2006;ITAUUNIBANCO;5570.02;163203.79;53.48;33.52;40.87
30/06/2006;ITAUUNIBANCO;5735.09;172412.77;53.53;32.67;33.36
30/09/2006;ITAUUNIBANCO;4454.09;206934.92;54.63;20.53;20.54
31/12/2006;ITAUUNIBANCO;4308.93;209691.16;54.99;18.29;19.44
31/03/2007;ITAUUNIBANCO;4750.60;257849.85;54.19;19.02;20.80
30/06/2007;ITAUUNIBANCO;5367.12;255417.70;54.56;20.22;21.33
30/09/2007;ITAUUNIBANCO;7723.97;298483.61;53.10;27.58;31.15
31/12/2007;ITAUUNIBANCO;8473.60;294876.25;52.37;29.25;33.69
31/03/2008;ITAUUNIBANCO;8615.43;327624.40;52.64;29.44;28.66
30/06/2008;ITAUUNIBANCO;8541.30;343870.15;51.64;28.15;33.10
30/09/2008;ITAUUNIBANCO;7961.09;396599.22;53.86;25.20;23.94
31/12/2008;ITAUUNIBANCO;7803.48;632728.40;73.14;17.87;-1.62
31/03/2009;ITAUUNIBANCO;7774.84;618943.35;70.71;17.28;-0.26
30/06/2009;ITAUUNIBANCO;8305.05;596387.07;66.79;17.57;2.64
30/09/2009;ITAUUNIBANCO;8725.50;612398.93;61.81;17.86;6.38
31/12/2009;ITAUUNIBANCO;10066.61;608273.23;50.56;19.86;25.33
31/03/2010;ITAUUNIBANCO;11285.96;634663.19;51.05;21.30;27.33
30/06/2010;ITAUUNIBANCO;11880.02;651582.99;53.46;21.57;25.26
30/09/2010;ITAUUNIBANCO;12645.95;686248.44;55.59;22.10;24.94
31/12/2010;ITAUUNIBANCO;12493.00;727481.00;;18.39;21.48
31/03/2011;ITAUUNIBANCO;12966.64;778472.49;;19.31;21.14
30/06/2011;ITAUUNIBANCO;13614.63;792500.39;;19.62;20.72
30/09/2011;ITAUUNIBANCO;14578.37;836994.30;;20.76;16.75
