Data;empresa;LL;at;ief;roe;moper
31/12/2022;BANCO PAN;668.28;55626.61;;9.38;6.81
30/09/2022;BANCO PAN;726.33;55785.14;59.23;9.32;6.13
30/06/2022;BANCO PAN;746.33;55080.00;60.65;9.67;7.26
31/03/2022;BANCO PAN;779.80;52599.56;60.73;10.16;8.81
31/12/2021;BANCO PAN;727.48;48139.72;;12.18;12.38
30/09/2021;BANCO PAN;755.07;44480.41;;13.30;10.35
30/06/2021;BANCO PAN;733.88;43148.20;;13.20;11.00
31/03/2021;BANCO PAN;675.29;39159.51;;12.43;10.48
31/12/2020;BANCO PAN;627.38;38863.45;;11.32;9.72
30/09/2020;BANCO PAN;652.20;35377.53;;12.49;5.48
30/06/2020;BANCO PAN;616.57;33741.26;;12.06;4.75
31/03/2020;BANCO PAN;590.39;33738.51;;11.76;4.91
31/12/2019;BANCO PAN;621.82;33179.45;;12.01;7.19
30/09/2019;BANCO PAN;421.99;31967.39;52.22;8.74;8.30
30/06/2019;BANCO PAN;336.57;30625.42;50.73;7.96;7.48
31/03/2019;BANCO PAN;261.07;28944.08;49.76;6.28;6.29
31/12/2018;BANCO PAN;198.29;27472.05;;4.67;5.64
30/09/2018;BANCO PAN;202.76;28130.22;50.39;5.01;3.23
30/06/2018;BANCO PAN;264.91;27071.39;52.58;6.60;2.32
31/03/2018;BANCO PAN;265.49;26154.65;52.53;6.65;2.67
31/12/2017;BANCO PAN;243.29;26137.08;;6.31;4.01
30/09/2017;BANCO PAN;157.93;27241.29;60.81;4.48;3.86
30/06/2017;BANCO PAN;33.69;27238.86;65.22;0.97;2.52
31/03/2017;BANCO PAN;-137.47;26787.82;73.55;-4.02;-0.87
31/12/2016;BANCO PAN;-146.17;27776.06;;-3.97;-3.52
30/09/2016;BANCO PAN;-203.76;26734.88;75.63;-5.97;-3.66
30/06/2016;BANCO PAN;-146.50;25674.09;75.99;-4.28;-4.79
31/03/2016;BANCO PAN;-14.53;26145.61;70.07;-0.41;-1.32
31/12/2015;BANCO PAN;143.89;26235.57;;3.80;0.68
30/09/2015;BANCO PAN;200.84;24866.98;69.37;5.58;-3.09
30/06/2015;BANCO PAN;86.89;24616.75;69.45;2.44;-2.54
31/03/2015;BANCO PAN;12.94;24639.56;75.32;0.36;-5.84
31/12/2014;BANCO PAN;82.52;25579.36;;2.26;1.19
30/09/2014;BANCO PAN;-405.01;23583.74;80.52;-11.88;-11.53
30/06/2014;BANCO PAN;-362.14;20896.66;75.93;-16.79;-9.75
31/03/2014;BANCO PAN;-326.17;20353.27;71.87;-14.65;-8.27
31/12/2013;BANCO PAN;-94.04;21922.82;;-4.20;-0.34
30/09/2013;BANCO PAN;-105.31;19402.41;74.02;-4.18;-4.37
30/06/2013;BANCO PAN;-300.44;19525.00;92.42;-11.86;-15.88
31/03/2013;BANCO PAN;-553.74;19078.90;147.16;-21.57;-32.05
31/12/2012;BANCO PAN;-364.60;19459.93;;-15.41;-12.84
30/09/2012;BANCO PAN;-539.91;15786.07;255.90;-20.67;-57.27
30/06/2012;BANCO PAN;-294.56;13409.50;225.01;-10.39;-43.70
31/03/2012;BANCO PAN;-54.59;13613.59;135.04;-2.34;-36.11
31/12/2011;BANCO PAN;231.07;15266.34;;23.76;-6.19
30/09/2011;BANCO PAN;-28.06;11415.07;-306.90;-1.99;-151.94
30/06/2011;BANCO PAN;-133.25;10611.71;182.77;-8.86;-3298.62
31/03/2011;BANCO PAN;-106.47;11677.99;136.75;-6.75;-17.77
31/12/2010;BANCO PAN;-187.30;16588.42;;47.07;-156.98
30/09/2010;BANCO PAN;60.91;13785.64;;4.59;8.24
30/06/2010;BANCO PAN;150.72;12583.38;;10.99;12.89
31/03/2010;BANCO PAN;177.77;11812.49;;12.80;14.82
31/12/2009;BANCO PAN;174.02;11590.56;;13.25;14.95
30/09/2009;BANCO PAN;58.09;10365.84;;4.45;10.16
30/06/2009;BANCO PAN;72.16;10096.19;;5.73;8.86
31/03/2009;BANCO PAN;97.95;8649.92;;7.78;8.94
31/12/2008;BANCO PAN;95.58;8976.48;;8.05;7.97
30/09/2008;BANCO PAN;;;;;
30/06/2008;BANCO PAN;;;;;
31/03/2008;BANCO PAN;;;;;
31/12/2007;BANCO PAN;130.04;7102.71;;11.03;10.34
30/09/2007;BANCO PAN;;;;;
30/06/2007;BANCO PAN;;;;;
31/03/2007;BANCO PAN;;;;;
31/12/2006;BANCO PAN;72.42;4721.14;;17.20;10.40
30/09/2006;BANCO PAN;;;;;
30/06/2006;BANCO PAN;;;;;
31/03/2006;BANCO PAN;;;;;
31/12/2005;BANCO PAN;;;;;
30/09/2005;BANCO PAN;;;;;
30/06/2005;BANCO PAN;;;;;
31/03/2005;BANCO PAN;;;;;
31/12/2004;BANCO PAN;;;;;
30/09/2004;BANCO PAN;;;;;
30/06/2004;BANCO PAN;;;;;
31/03/2004;BANCO PAN;;;;;
31/12/2003;BANCO PAN;;;;;
30/09/2003;BANCO PAN;;;;;
30/06/2003;BANCO PAN;;;;;
31/03/2003;BANCO PAN;;;;;
31/12/2002;BANCO PAN;;;;;
