Data;empresa;LL;at;ief;roe;moper
31/12/2022;SANTANDER BR;14339.48;985450.83;;12.96;16.82
30/09/2022;SANTANDER BR;15061.20;985777.18;;13.67;19.33
30/06/2022;SANTANDER BR;15493.87;969851.76;;14.31;20.56
31/03/2022;SANTANDER BR;15315.79;950925.64;;14.4;28.89
31/12/2021;SANTANDER BR;15559.32;931208.40;;14.68;31.55
30/09/2021;SANTANDER BR;15652.48;945582.44;;14.78;44.21
30/06/2021;SANTANDER BR;15597.27;929324.38;;14.66;49.59
31/03/2021;SANTANDER BR;13647.45;944800.83;;12.96;34.93
31/12/2020;SANTANDER BR;13450.75;936201.49;;12.68;15.22
30/09/2020;SANTANDER BR;15237.72;891910.54;;14.68;7.28
30/06/2020;SANTANDER BR;15395.86;863125.20;;15.22;5.23
31/03/2020;SANTANDER BR;16824.13;830398.30;;16.88;13.62
31/12/2019;SANTANDER BR;16631.45;762237.45;;17.11;30.37
30/09/2019;SANTANDER BR;14888.56;753262.49;;14.86;31.48
30/06/2019;SANTANDER BR;14167.22;737602.60;;14.67;32.65
31/03/2019;SANTANDER BR;13600.84;705033.06;;14.44;23.4
31/12/2018;SANTANDER BR;12799.92;723865.01;;13.97;22.48
30/09/2018;SANTANDER BR;11518.79;703837.22;;12.56;16.33
30/06/2018;SANTANDER BR;10660.93;696437.35;;11.94;18.25
31/03/2018;SANTANDER BR;10002.90;673666.26;;11.32;21.59
31/12/2017;SANTANDER BR;9138.05;645703.04;;10.49;20.22
30/09/2017;SANTANDER BR;8171.96;651368.09;;9.01;16.55
30/06/2017;SANTANDER BR;8089.75;633473.58;;9.14;12.88
31/03/2017;SANTANDER BR;7642.05;624757.30;;8.69;18.64
31/12/2016;SANTANDER BR;7464.92;634393.24;;8.8;21.18
30/09/2016;SANTANDER BR;7494.04;611882.11;;8.46;23.18
30/06/2016;SANTANDER BR;6910.60;605448.24;;8.06;11.94
31/03/2016;SANTANDER BR;10027.22;592751.09;;12.03;7.11
31/12/2015;SANTANDER BR;9833.83;605394.53;;12.32;-4.77
30/09/2015;SANTANDER BR;9715.48;611157.94;;11.82;-5.98
30/06/2015;SANTANDER BR;9321.21;565644.42;;10.96;3.04
31/03/2015;SANTANDER BR;5928.00;550568.09;;7.43;2.52
31/12/2014;SANTANDER BR;5707.78;520230.91;;7.25;10.78
30/09/2014;SANTANDER BR;5721.73;495916.35;;7.25;8.86
30/06/2014;SANTANDER BR;5749.03;470787.53;;7.31;11.44
31/03/2014;SANTANDER BR;5688.36;457736.25;;7.39;7.66
31/12/2013;SANTANDER BR;5848.12;453052.70;;7.16;7.67
30/09/2013;SANTANDER BR;5216.74;440118.56;;6.39;10.26
30/06/2013;SANTANDER BR;5332.31;435801.61;;6.58;10.62
31/03/2013;SANTANDER BR;5312.89;427358.95;;6.66;10.39
31/12/2012;SANTANDER BR;5459.28;421084.96;;6.69;10.33
30/09/2012;SANTANDER BR;6447.90;412694.90;;7.95;13.53
30/06/2012;SANTANDER BR;6784.26;407211.24;;8.46;10.73
31/03/2012;SANTANDER BR;7407.89;395940.03;;9.32;15.87
31/12/2011;SANTANDER BR;7755.85;399886.08;;9.94;17.12
30/09/2011;SANTANDER BR;10306.26;414983.07;;13.39;25.87
30/06/2011;SANTANDER BR;10437.87;406870.55;;13.87;33.11
31/03/2011;SANTANDER BR;10122.81;383987.38;;13.55;33.18
31/12/2010;SANTANDER BR;7382.57;374662.68;;10.06;24.33
30/09/2010;SANTANDER BR;5850.66;357632.62;;8.01;19.67
30/06/2010;SANTANDER BR;4330.57;347246.18;;6.05;8.38
31/03/2010;SANTANDER BR;3150.40;316048.90;;4.45;2.77
31/12/2009;SANTANDER BR;1805.90;342323.74;73.6;2.8;-1.61
30/09/2009;SANTANDER BR;1670.06;334755.14;75.13;3.21;-3.8
30/06/2009;SANTANDER BR;1753.15;323899.02;72.65;3.55;1.63
31/03/2009;SANTANDER BR;1611.36;330346.13;71.81;3.27;3.3
31/12/2008;SANTANDER BR;1580.61;340635.47;68.77;3.24;4.11
30/09/2008;SANTANDER BR;1866.38;328130.70;61.08;3.75;9.36
30/06/2008;SANTANDER BR;1714.35;126804.63;58.25;16.16;12.22
31/03/2008;SANTANDER BR;1680.79;120352.72;56.9;17.86;12.01
31/12/2007;SANTANDER BR;1845.40;116036.94;56.03;19.92;13.39
30/09/2007;SANTANDER BR;1652.96;124778.01;53.67;16.18;12.77
30/06/2007;SANTANDER BR;1675.93;120888.32;53.73;16.76;13.75
31/03/2007;SANTANDER BR;1284.44;104146.06;54.77;14.81;14.01
31/12/2006;SANTANDER BR;803.62;102027.10;54.98;10.08;13.47
30/09/2006;SANTANDER BR;;;;;
30/06/2006;SANTANDER BR;;;;;
31/03/2006;SANTANDER BR;;;;;
31/12/2005;SANTANDER BR;176.32;5250.83;44.8;10.19;14.76
30/09/2005;SANTANDER BR;;;;;
30/06/2005;SANTANDER BR;;;;;
31/03/2005;SANTANDER BR;;;;;
31/12/2004;SANTANDER BR;;;;;
30/09/2004;SANTANDER BR;;;;;
30/06/2004;SANTANDER BR;;;;;
31/03/2004;SANTANDER BR;;;;;
31/12/2003;SANTANDER BR;;;;;
30/09/2003;SANTANDER BR;;;;;
30/06/2003;SANTANDER BR;;;;;
31/03/2003;SANTANDER BR;;;;;
31/12/2002;SANTANDER BR;;;;;
